"SEQN","FSDHH","FSDAD","FSD151","FSQ165","FSQ012","FSD230","FSD162","FSQ760","FSQ653","FSD660ZC","FSD675","FSD680","FSD670ZC","FSQ690","FSQ695","FSD652ZW","FSD672ZW","FSD652CW","FSD660ZW"
109369,1,1,2,1,2,,2,,,,,,,,,,,,
109370,,,,,,,,,2,,,,,2,,,,,
109371,1,1,2,2,,,2,,,,,,,,,,,,
109372,2,2,1,1,1,1,2,,,,,,,,,,,,
109373,2,2,2,1,2,,2,,,,,,,,,,,,
109374,2,2,2,1,2,,2,,1,2,1,2,8,1,6,,,,
109375,1,1,2,2,,,2,,2,,,,,2,,,,,
109376,1,1,2,2,,,2,,,,,,,,,,,,
109377,1,1,2,2,,,,,,,,,,,,,,,
109378,1,1,2,2,,,2,,,,,,,,,,,,
109379,1,1,1,1,1,1,2,,,,,,,,,,,,
109380,2,2,2,1,2,,2,,,,,,,,,,,,
109381,2,2,1,1,1,1,2,,,,,,,,,,,,
109382,2,2,2,2,,,2,,,,,,,,,,,,
109383,1,1,2,2,,,2,,,,,,,,,,,,
109384,3,2,2,2,,,2,,,,,,,,,,,,
109385,1,1,2,1,2,,1,1,1,1,1,1,2,2,,,,,
109386,1,1,2,1,1,1,1,1,1,1,1,,2,2,,,,,
109387,1,1,2,1,2,,2,,,,,,,,,,,,
109388,1,1,2,1,2,,2,,,,,,,,,,,,
109389,1,1,2,2,,,2,,,,,,,,,,,,
109390,2,2,2,1,2,,2,,,,,,,,,,,,
109391,3,4,2,2,,,1,1,,,,,,,,,,,
109392,3,3,2,2,,,2,,,,,,,,,,,,
109393,4,4,1,1,2,,2,,,,,,,,,,,,
109394,1,1,1,2,,,2,,,,,,,,,,,,
109395,1,1,2,2,,,2,,,,,,,,,,,,
109396,1,1,2,2,,,2,,,,,,,,,2,,2,2
109397,1,1,2,2,,,2,,,,,,,,,,,,
109398,1,1,2,2,,,2,,,,,,,,,,,,
109399,4,4,1,1,1,2,2,,,,,,,,,,,,
109400,1,1,2,2,,,2,,,,,,,,,,,,
109401,1,1,2,1,1,1,2,,,,,,,,,,,,
109402,1,1,2,2,,,2,,,,,,,,,,,,
109403,1,1,2,2,,,2,,,,,,,,,,,,
109404,1,1,2,2,,,2,,,,,,,,,,,,
109405,2,2,2,1,2,,1,1,,,,,,,,,,,
109406,1,1,2,1,1,1,1,1,1,1,1,1,12,1,3,,,,
109407,2,2,2,2,,,2,,,,,,,,,,,,
109408,1,1,2,2,,,2,,,,,,,,,,,,
109409,4,4,2,1,2,,2,,,,,,,,,,,,
109410,1,1,2,2,,,2,,1,2,1,1,12,2,,,,,
109411,1,1,2,1,2,,2,,,,,,,,,,,,
109412,,,,,,,,,,,,,,,,,,,
109413,,,,,,,,,,,,,,,,,,,
109414,3,3,1,1,1,1,2,,,,,,,,,,,,
109415,1,1,2,2,,,2,,,,,,,,,,,,
109416,3,3,2,1,1,1,2,,,,,,,,,,,,
109417,1,1,2,1,2,,2,,,,,,,,,,,,
109418,2,2,2,1,1,1,2,,2,,,,,2,,,,,
109419,2,2,2,2,,,2,,2,,,,,2,,,,,
109420,1,1,2,2,,,2,,2,,,,,2,,,,,
109421,1,1,2,2,,,2,,2,,,,,1,6,,,,
109422,2,2,2,1,1,1,1,2,1,2,1,2,11,1,6,,,,
109423,4,3,2,1,1,2,1,1,,,,,,,,,,,
109424,1,1,2,2,,,2,,,,,,,,,,,,
109425,1,1,2,2,,,2,,,,,,,,,,,,
109426,1,1,2,2,,,2,,,,,,,,,,,,
109427,1,1,2,1,2,,2,,,,,,,,,,,,
109428,1,1,2,2,,,2,,,,,,,,,,,,
109429,4,4,2,1,2,,1,2,,,,,,,,,,,
109430,1,1,2,2,,,2,,2,,,,,2,,,,,
109431,1,1,2,2,,,2,,,,,,,,,,,,
109432,1,1,2,1,2,,2,,,,,,,,,2,,2,2
109433,1,1,2,1,1,2,2,,1,2,1,1,36,1,1,,,,
109434,4,4,1,1,1,1,2,,,,,,,,,,,,
109435,4,4,1,1,1,1,2,,,,,,,,,,,,
109436,1,1,2,2,,,2,,,,,,,,,,,,
109437,4,4,2,1,1,1,2,,,,,,,,,,,,
109438,1,1,2,2,,,1,1,2,,,,,1,4,,,,
109439,4,4,2,1,1,1,2,,,,,,,,,,,,
109440,1,1,2,2,,,2,,,,,,,,,,,,
109441,3,3,2,2,,,2,,,,,,,,,,,,
109442,2,2,2,1,1,1,1,2,1,2,1,1,24,1,5,,,,
109443,4,3,2,2,,,2,,2,,,,,2,,,,,
109444,3,3,2,1,1,1,1,1,,,,,,,,,,,
109445,,,,,,,,,,,,,,,,,,,
109446,1,1,2,1,1,2,2,,,,,,,,,,,,
109447,4,4,2,2,,,1,2,,,,,,,,2,,2,2
109448,1,1,2,2,,,2,,2,,,,,2,,,,,
109449,1,1,2,1,2,,2,,,,,,,,,,,,
109450,3,3,1,1,2,,1,1,,,,,,,,,,,
109451,2,2,2,2,,,2,,,,,,,,,,,,
109452,1,1,2,1,1,1,1,1,1,1,1,1,12,1,7,,,,
109453,4,4,2,1,1,1,2,,,,,,,,,,,,
109454,4,4,2,1,1,1,2,,,,,,,,,,,,
109455,1,1,2,2,,,2,,,,,,,,,,,,
109456,3,3,1,1,1,2,2,,,,,,,,,,,,
109457,1,1,2,2,,,2,,,,,,,,,,,,
109458,2,2,2,2,,,2,,,,,,,,,,,,
109459,1,1,2,2,,,2,,,,,,,,,,,,
109460,,,,,,,,,,,,,,,,,,,
109461,2,2,2,1,1,1,2,,,,,,,,,,,,
109462,1,1,2,2,,,2,,2,,,,,2,,,,,
109463,1,1,2,2,,,2,,2,,,,,2,,,,,
109464,2,2,2,2,,,2,,,,,,,,,,,,
109465,1,1,2,1,1,1,2,,,,,,,,,,,,
109466,3,3,2,2,,,2,,,,,,,,,,,,
109467,1,1,2,2,,,2,,,,,,,,,,,,
109468,4,4,2,1,2,,2,,,,,,,,,,,,
109469,4,4,2,1,2,,1,1,1,1,1,1,36,1,2,,,,
109470,1,1,2,1,1,1,1,1,1,1,1,1,12,1,6,,,,
109471,2,2,2,1,1,2,1,1,,,,,,,,,,,
109472,1,1,2,2,,,2,,,,,,,,,,,,
109473,1,1,2,1,1,1,2,,,,,,,,,,,,
109474,1,1,2,2,,,2,,,,,,,,,,,,
109475,3,3,2,2,,,2,,,,,,,,,,,,
109476,1,1,2,1,1,1,1,1,,,,,,,,,,,
109477,1,1,2,1,2,,2,,,,,,,,,,,,
109478,1,1,2,2,,,2,,,,,,,,,2,,2,2
109479,4,4,2,1,1,1,2,,,,,,,,,,,,
109480,1,1,2,2,,,2,,,,,,,,,,,,
109481,1,1,2,2,,,2,,,,,,,,,,,,
109482,1,1,2,2,,,2,,,,,,,,,,,,
109483,1,1,2,1,2,,1,2,,,,,,,,,,,
109484,1,1,2,1,1,1,1,1,1,2,1,2,12,1,1,,,,
109485,1,1,2,9,,,2,,,,,,,,,,,,
109486,1,1,2,1,2,,2,,,,,,,,,,,,
109487,3,3,2,1,2,,1,1,2,,,,,1,5,,,,
109488,3,2,2,1,2,,2,,,,,,,,,,,,
109489,,,,,,,,,,,,,,,,,,,
109490,2,2,2,1,1,1,2,,,,,,,,,,,,
109491,1,1,1,1,1,2,1,1,1,1,1,,1,1,1,,,,
109492,3,4,2,1,1,1,1,2,,,,,,,,,,,
109493,1,1,2,2,,,2,,,,,,,,,,,,
109494,1,1,2,1,1,2,1,1,1,1,2,,14,2,,,,,
109495,1,1,2,1,2,,2,,,,,,,,,,,,
109496,1,1,2,2,,,2,,,,,,,,,,,,
109497,1,1,1,1,2,,2,,,,,,,,,,,,
109498,1,1,2,2,,,2,,2,,,,,2,,,,,
109499,1,1,2,2,,,2,,,,,,,,,,,,
109500,1,1,2,2,,,2,,,,,,,,,,,,
109501,1,1,2,2,,,2,,,,,,,,,,,,
109502,1,1,2,2,,,1,1,,,,,,,,,,,
109503,1,1,2,2,,,2,,,,,,,,,,,,
109504,1,1,2,2,,,2,,,,,,,,,,,,
109505,1,1,2,1,2,,2,,,,,,,,,,,,
109506,1,1,2,1,1,1,2,,,,,,,,,,,,
109507,1,1,2,1,1,1,1,1,,,,,,,,,,,
109508,1,1,2,2,,,2,,,,,,,,,,,,
109509,,,,,,,,,1,2,1,2,12,1,3,,,,
109510,1,1,2,2,,,2,,,,,,,,,,,,
109511,3,3,2,1,1,1,2,,,,,,,,,,,,
109512,1,1,2,2,,,2,,,,,,,,,,,,
109513,1,1,2,2,,,2,,,,,,,,,,,,
109514,3,3,2,1,2,,2,,,,,,,,,,,,
109515,3,2,2,1,1,1,1,1,1,2,1,1,13,1,3,,,,
109516,3,3,2,1,1,1,1,1,1,1,1,,10,1,5,,,,
109517,1,1,2,2,,,1,1,1,1,1,1,20,1,5,,,,
109518,1,1,2,2,,,2,,,,,,,,,,,,
109519,4,4,1,1,2,,2,,,,,,,,,,,,
109520,1,1,2,1,1,1,2,,,,,,,,,,,,
109521,1,1,2,1,1,1,1,1,1,1,1,,24,1,5,,,,
109522,1,1,2,2,,,2,,2,,,,,2,,,,,
109523,1,1,2,2,,,2,,,,,,,,,,,,
109524,1,1,2,2,,,1,1,,,,,,,,,,,
109525,,,,,,,,,,,,,,,,,,,
109526,1,1,1,9,,,1,1,,,,,,,,,,,
109527,1,1,2,2,,,2,,,,,,,,,,,,
109528,1,1,1,1,1,2,2,,,,,,,,,,,,
109529,2,2,2,1,1,2,1,2,1,2,1,1,36,1,1,,,,
109530,3,3,2,2,,,2,,,,,,,,,,,,
109531,,,,,,,,,,,,,,,,,,,
109532,1,1,2,1,2,,2,,,,,,,,,,,,
109533,,,,,,,,,,,,,,,,,,,
109534,3,3,2,1,1,1,2,,,,,,,,,,,,
109535,1,1,2,1,1,1,2,,1,2,1,1,24,1,5,,,,
109536,1,1,2,2,,,2,,,,,,,,,,,,
109537,,,,,,,,,,,,,,,,,,,
109538,2,2,1,1,1,1,2,,,,,,,,,,,,
109539,1,1,1,1,1,1,2,,,,,,,,,,,,
109540,2,2,2,1,1,1,2,,,,,,,,,,,,
109541,4,3,2,2,,,2,,,,,,,,,2,,2,2
109542,2,2,2,1,1,2,2,,,,,,,,,,,,
109543,3,3,2,1,2,,2,,1,2,1,2,1,2,,,,,
109544,3,3,2,1,1,1,2,,,,,,,,,,,,
109545,2,2,2,1,1,1,2,,,,,,,,,,,,
109546,1,1,2,1,1,1,2,,1,2,1,2,10,1,6,,,,
109547,1,1,2,1,1,1,2,,1,2,1,1,36,1,1,,,,
109548,1,1,2,2,,,2,,,,,,,,,,,,
109549,1,1,2,2,,,2,,,,,,,,,,,,
109550,1,1,2,2,,,2,,,,,,,,,,,,
109551,1,1,2,1,1,1,2,,,,,,,,,,,,
109552,1,1,2,2,,,2,,,,,,,,,,,,
109553,1,1,2,1,1,1,1,2,,,,,,,,,,,
109554,2,2,2,1,1,1,2,,,,,,,,,,,,
109555,3,3,2,2,,,2,,,,,,,,,,,,
109556,1,1,2,2,,,2,,,,,,,,,,,,
109557,3,3,2,2,,,2,,,,,,,,,,,,
109558,1,1,2,2,,,2,,,,,,,,,,,,
109559,1,1,2,1,1,1,1,1,1,1,1,1,24,1,6,,,,
109560,,,,,,,,,,,,,,,,,,,
109561,1,1,2,2,,,2,,,,,,,,,,,,
109562,1,1,2,2,,,2,,,,,,,,,,,,
109563,1,1,2,1,2,,2,,,,,,,,,,,,
109564,1,1,2,2,,,2,,,,,,,,,,,,
109565,1,1,2,2,,,2,,,,,,,,,,,,
109566,1,1,1,1,1,1,1,1,,,,,,,,,,,
109567,1,1,1,2,,,2,,,,,,,,,,,,
109568,1,1,1,1,2,,2,,,,,,,,,,,,
109569,1,1,2,2,,,2,,,,,,,,,,,,
109570,1,1,2,2,,,,,,,,,,,,,,,
109571,1,1,1,1,1,1,1,1,,,,,,,,,,,
109572,4,4,1,1,1,1,2,,,,,,,,,,,,
109573,2,2,2,1,1,1,1,1,1,1,1,1,12,1,7,,,,
109574,1,1,2,2,,,2,,,,,,,,,,,,
109575,1,1,2,2,,,2,,1,2,1,1,24,2,,,,,
109576,2,2,2,1,1,1,2,,,,,,,,,,,,
109577,3,3,2,2,,,2,,,,,,,,,,,,
109578,,,,,,,,,,,,,,,,,,,
109579,3,3,2,1,2,,2,,,,,,,,,,,,
109580,1,1,2,1,2,,2,,,,,,,,,,,,
109581,2,2,2,1,1,2,2,,,,,,,,,,,,
109582,1,1,2,2,,,2,,,,,,,,,,,,
109583,,,,,,,,,2,,,,,2,,,,,
109584,1,1,2,2,,,1,1,,,,,,,,,,,
109585,1,1,2,1,2,,2,,,,,,,,,,,,
109586,1,1,2,2,,,2,,2,,,,,2,,,,,
109587,1,1,2,2,,,2,,,,,,,,,,,,
109588,2,2,2,1,2,,2,,,,,,,,,,,,
109589,1,1,2,1,2,,2,,,,,,,,,,,,
109590,1,1,2,1,1,2,2,,,,,,,,,,,,
109591,4,3,2,1,1,1,2,,,,,,,,,,,,
109592,2,2,2,7,,,1,1,,,,,,,,,,,
109593,1,1,2,1,1,1,2,,,,,,,,,,,,
109594,4,4,1,2,,,2,,,,,,,,,,,,
109595,1,1,2,2,,,2,,2,,,,,2,,,,,
109596,3,4,1,1,1,1,2,,1,2,1,1,24,1,1,,,,
109597,1,1,2,2,,,2,,,,,,,,,,,,
109598,3,3,2,2,,,2,,,,,,,,,,,,
109599,1,1,2,2,,,2,,2,,,,,2,,,,,
109600,1,1,2,2,,,2,,,,,,,,,,,,
109601,,,,,,,,,,,,,,,,,,,
109602,,,,,,,,,,,,,,,,,,,
109603,2,2,2,1,2,,2,,2,,,,,2,,,,,
109604,1,1,2,2,,,2,,,,,,,,,,,,
109605,2,2,2,1,1,1,1,1,1,1,1,,3,1,6,,,,
109606,3,3,2,1,1,1,1,1,,,,,,,,,,,
109607,4,4,2,2,,,2,,,,,,,,,,,,
109608,1,1,2,2,,,2,,,,,,,,,,,,
109609,1,1,2,2,,,2,,,,,,,,,,,,
109610,,,,,,,,,,,,,,,,,,,
109611,1,1,1,1,1,1,2,,,,,,,,,,,,
109612,,,,,,,,,,,,,,,,,,,
109613,1,1,2,1,1,1,2,,,,,,,,,,,,
109614,1,1,2,2,,,2,,,,,,,,,,,,
109615,1,1,2,1,2,,2,,,,,,,,,,,,
109616,2,2,2,2,,,2,,,,,,,,,,,,
109617,4,4,2,2,,,2,,,,,,,,,,,,
109618,1,1,2,2,,,2,,2,,,,,2,,,,,
109619,2,2,2,1,1,2,1,2,1,2,1,,6,1,7,,,,
109620,3,3,2,2,,,1,2,,,,,,,,,,,
109621,1,1,2,2,,,2,,,,,,,,,,,,
109622,1,1,2,2,,,2,,,,,,,,,,,,
109623,1,1,2,2,,,2,,,,,,,,,,,,
109624,4,4,1,1,2,,2,,,,,,,,,,,,
109625,1,1,2,2,,,2,,,,,,,,,,,,
109626,1,1,2,1,2,,2,,,,,,,,,,,,
109627,1,1,2,1,1,1,1,1,,,,,,,,,,,
109628,3,3,1,1,1,1,1,1,,,,,,,,,,,
109629,2,2,2,1,1,1,2,,,,,,,,,,,,
109630,2,2,2,2,,,2,,,,,,,,,,,,
109631,1,1,2,2,,,2,,,,,,,,,,,,
109632,1,1,2,2,,,2,,,,,,,,,,,,
109633,1,1,2,1,1,1,1,1,1,2,2,1,24,1,3,,,,
109634,1,1,2,2,,,2,,,,,,,,,,,,
109635,4,4,2,2,,,2,,,,,,,,,,,,
109636,2,2,2,2,,,2,,2,,,,,2,,,,,
109637,3,3,1,2,,,2,,,,,,,,,,,,
109638,1,1,2,1,2,,2,,,,,,,,,,,,
109639,,,,,,,,,,,,,,,,,,,
109640,1,1,2,2,,,2,,,,,,,,,,,,
109641,1,1,2,1,2,,2,,,,,,,,,,,,
109642,3,4,2,1,1,1,2,,,,,,,,,,,,
109643,1,1,2,1,1,1,2,,,,,,,,,,,,
109644,4,4,2,2,,,2,,,,,,,,,,,,
109645,3,3,1,1,1,1,2,,,,,,,,,,,,
109646,1,1,2,2,,,2,,,,,,,,,,,,
109647,1,1,2,2,,,2,,2,,,,,2,,,,,
109648,1,1,2,1,2,,1,1,1,1,1,1,15,1,5,,,,
109649,1,1,2,2,,,2,,,,,,,,,,,,
109650,2,2,1,1,1,1,2,,,,,,,,,,,,
109651,3,4,2,1,1,1,1,1,1,1,1,,10,1,6,,,,
109652,3,3,1,1,2,,2,,,,,,,,,,,,
109653,1,1,2,2,,,2,,,,,,,,,,,,
109654,1,1,2,2,,,2,,,,,,,,,,,,
109655,2,2,2,2,,,2,,,,,,,,,,,,
109656,1,1,2,2,,,2,,,,,,,,,,,,
109657,1,1,2,2,,,2,,,,,,,,,,,,
109658,3,3,2,1,2,,2,,,,,,,,,,,,
109659,4,4,2,1,2,,1,1,1,1,2,,36,1,2,,,,
109660,2,1,2,2,,,2,,2,,,,,2,,,,,
109661,1,1,2,1,2,,2,,,,,,,,,,,,
109662,2,2,2,2,,,2,,,,,,,,,,,,
109663,1,1,2,1,2,,2,,,,,,,,,,,,
109664,1,1,2,2,,,2,,,,,,,,,,,,
109665,2,2,2,2,,,2,,,,,,,,,,,,
109666,3,3,1,1,1,1,2,,,,,,,,,,,,
109667,3,3,2,2,,,2,,,,,,,,,,,,
109668,3,3,2,1,1,1,1,2,,,,,,,,,,,
109669,2,2,2,1,1,1,2,,,,,,,,,,,,
109670,2,2,2,7,,,1,1,1,1,1,,11,1,2,,,,
109671,1,1,2,2,,,2,,2,,,,,2,,,,,
109672,1,1,2,2,,,2,,2,,,,,2,,,,,
109673,4,4,2,1,2,,2,,,,,,,,,,,,
109674,1,1,2,1,1,1,1,1,1,1,1,,48,1,3,,,,
109675,1,1,2,2,,,2,,,,,,,,,,,,
109676,1,1,2,2,,,2,,,,,,,,,,,,
109677,4,4,2,1,1,1,2,,,,,,,,,,,,
109678,4,4,2,2,,,2,,,,,,,,,,,,
109679,1,1,1,1,1,1,2,,,,,,,,,,,,
109680,1,1,2,2,,,2,,2,,,,,2,,,,,
109681,,,,,,,,,,,,,,,,,,,
109682,1,1,2,1,1,1,2,,,,,,,,,,,,
109683,1,1,2,2,,,2,,,,,,,,,,,,
109684,3,4,1,1,1,1,2,,,,,,,,,,,,
109685,1,1,2,2,,,2,,,,,,,,,,,,
109686,2,1,2,1,1,1,2,,,,,,,,,,,,
109687,1,1,2,2,,,2,,,,,,,,,2,,2,2
109688,1,1,2,2,,,2,,2,,,,,2,,,,,
109689,2,2,1,1,2,,2,,,,,,,,,,,,
109690,1,1,2,2,,,2,,1,2,1,2,9,1,7,,,,
109691,2,2,2,1,1,1,2,,,,,,,,,,,,
109692,1,1,2,2,,,2,,,,,,,,,,,,
109693,1,1,2,9,,,9,,,,,,,,,1,1,1,2
109694,1,1,2,2,,,2,,,,,,,,,,,,
109695,1,1,2,1,2,,2,,2,,,,,2,,,,,
109696,,,,,,,,,,,,,,,,,,,
109697,1,1,2,2,,,2,,,,,,,,,,,,
109698,1,1,2,2,,,2,,,,,,,,,,,,
109699,4,4,2,1,1,1,2,,1,2,1,2,12,1,2,,,,
109700,3,3,2,1,1,1,2,,,,,,,,,,,,
109701,1,1,2,2,,,2,,,,,,,,,,,,
109702,1,1,2,2,,,2,,,,,,,,,,,,
109703,1,1,2,2,,,2,,,,,,,,,,,,
109704,1,1,2,2,,,2,,,,,,,,,,,,
109705,4,4,1,1,2,,2,,,,,,,,,,,,
109706,1,1,2,2,,,1,1,,,,,,,,,,,
109707,3,3,2,1,1,1,2,,,,,,,,,,,,
109708,3,3,1,1,1,1,2,,1,2,1,2,2,1,3,,,,
109709,1,1,2,2,,,2,,,,,,,,,,,,
109710,2,2,2,1,2,,2,,,,,,,,,,,,
109711,2,2,2,2,,,2,,,,,,,,,,,,
109712,,,,,,,,,,,,,,,,,,,
109713,1,1,2,1,1,1,2,,,,,,,,,,,,
109714,1,1,2,2,,,2,,,,,,,,,,,,
109715,1,1,2,1,1,1,2,,,,,,,,,,,,
109716,2,2,1,1,1,1,2,,,,,,,,,2,,2,2
109717,1,1,2,1,2,,1,1,,,,,,,,,,,
109718,2,1,2,2,,,2,,,,,,,,,,,,
109719,1,1,2,2,,,2,,2,,,,,2,,,,,
109720,4,4,1,1,1,1,1,1,1,1,1,,36,1,3,,,,
109721,1,1,2,1,1,1,2,,,,,,,,,,,,
109722,1,1,2,1,1,1,9,,,,,,,,,,,,
109723,1,1,2,1,1,1,2,,,,,,,,,,,,
109724,2,2,2,1,1,1,1,1,1,1,1,,58,1,2,,,,
109725,3,3,2,2,,,2,,,,,,,,,,,,
109726,1,1,2,2,,,2,,,,,,,,,,,,
109727,1,1,2,1,9,,2,,,,,,,,,,,,
109728,4,4,1,1,2,,2,,,,,,,,,,,,
109729,1,1,2,2,,,2,,,,,,,,,,,,
109730,4,3,1,1,1,1,2,,,,,,,,,,,,
109731,3,4,2,2,,,2,,,,,,,,,,,,
109732,1,1,2,2,,,2,,,,,,,,,,,,
109733,1,1,2,2,,,2,,,,,,,,,,,,
109734,3,3,2,1,1,1,2,,1,2,1,1,24,1,3,,,,
109735,3,3,2,1,2,,2,,,,,,,,,,,,
109736,1,1,2,2,,,2,,2,,,,,2,,,,,
109737,1,1,2,2,,,2,,2,,,,,2,,,,,
109738,1,1,1,9,,,1,1,1,1,1,1,24,1,2,,,,
109739,1,1,2,2,,,2,,,,,,,,,,,,
109740,1,1,2,2,,,2,,,,,,,,,,,,
109741,3,3,1,1,1,1,1,1,,,,,,,,,,,
