"SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
51624,1,2,2,2,2,2,2,2,1,7,1.63,2,1,
51625,1,2,2,2,2,2,2,1,2,77,,3,1,
51626,1,2,2,2,2,2,2,2,2,6,1.52,2,,
51627,2,1,2,2,2,2,1,2,2,6,0.98,1,7,
51628,2,2,1,1,2,2,2,2,2,3,0.82,1,2,1
51629,1,2,1,1,2,2,2,2,2,5,0.93,1,2,1
51630,2,2,2,2,2,2,2,2,1,6,1.44,2,,
51631,1,2,2,2,2,2,2,2,2,99,,2,9,
51632,1,2,2,2,2,2,2,1,2,10,2.7,3,,
51633,2,2,1,2,2,2,2,1,2,4,1.24,1,2,1
51634,2,1,2,2,2,2,2,2,2,12,5,3,2,1
51635,2,2,1,2,1,2,2,2,1,4,1.66,2,1,
51636,1,2,2,2,2,2,2,2,1,6,1.36,2,2,2
51637,,,,,,,,,,,,,,
51638,1,2,2,2,2,2,2,2,2,9,1.35,2,,
51639,1,2,2,2,2,2,2,2,2,7,0.97,1,2,1
51640,1,2,2,2,2,1,2,2,2,10,1.85,2,2,1
51641,1,2,2,2,2,2,2,2,2,8,2.09,3,,
51642,1,2,2,2,2,2,1,2,2,99,,9,2,1
51643,1,1,2,2,2,2,2,2,2,7,2.36,3,,
51644,1,2,1,2,1,2,2,2,1,99,,9,2,1
51645,2,2,1,2,2,2,2,2,2,99,,9,2,1
51646,1,2,2,2,2,2,2,1,2,99,,3,,
51647,1,1,2,2,2,2,2,1,2,9,3.95,3,,
51648,2,2,2,2,2,2,2,2,2,2,0.55,1,2,1
51649,1,2,2,2,2,2,1,2,2,4,0.52,1,2,1
51650,1,2,2,2,2,2,2,2,2,4,0.82,1,2,1
51651,1,2,2,2,2,1,2,2,1,4,0.47,1,2,1
51652,1,2,2,2,2,2,2,2,2,7,2.29,3,2,1
51653,1,1,2,2,2,2,2,2,2,7,3.77,3,,
51654,1,2,1,2,1,1,2,1,2,5,1.65,2,,
51655,1,2,2,2,2,2,2,2,2,6,1.2,1,2,1
51656,1,2,2,2,2,2,2,1,2,12,5,3,,
51657,1,2,2,2,2,2,2,2,2,7,1.22,1,,
51658,1,2,2,2,2,2,2,2,2,7,0.97,1,2,1
51659,1,2,2,2,2,2,2,1,2,77,,3,1,
51660,1,2,2,2,2,2,2,2,2,4,0.58,1,2,1
51661,1,2,1,2,2,2,2,2,2,5,1.65,2,,
51662,1,2,2,2,2,2,2,2,2,12,4.65,3,2,99
51663,1,2,2,2,2,2,2,2,2,5,0.93,1,2,1
51664,1,2,2,2,1,2,2,1,1,12,5,3,,
51665,1,2,2,2,2,2,2,2,1,7,1.97,3,2,1
