"SEQN","INDFMMPI","INDFMMPC"
113063,,3
113064,5,3
113065,1.39,2
113066,1.19,1
113067,1.9,3
113068,2.48,3
113069,1.43,2
113070,5,3
113071,1.5,2
113072,,3
113073,,2
113074,,
113075,,
113076,1.28,1
113077,4.5,3
113078,5,3
113079,2.39,3
113080,2.45,3
113081,4.17,3
113082,4.65,3
113083,3.22,3
113084,0.72,1
113085,0.52,1
113086,,3
113087,1.97,3
113088,,3
113089,0.14,1
113090,2.13,3
113091,,7
113092,3.55,3
113093,0.35,1
113094,,
113095,,
113096,,
113097,,
113098,5,3
113099,0.93,1
113100,0.98,1
113101,2.1,3
113102,1.4,2
113103,,1
113104,5,3
113105,,3
113106,2.04,3
113107,1.17,1
113108,0.33,1
113109,2.31,3
113110,1.72,2
113111,5,3
113112,1.31,2
113113,0.98,1
113114,1.24,1
113115,5,3
113116,2.19,3
113117,2.35,3
113118,1.11,1
113119,5,3
113120,2.36,3
113121,3,3
113122,3.53,3
113123,2.82,3
113124,5,3
113125,4.58,3
113126,1.16,1
113127,,
113128,1.48,2
113129,1.68,2
113130,2.55,3
113131,,
113132,,
113133,1.18,1
113134,,3
113135,1.2,1
113136,1.48,2
113137,,3
113138,1.39,2
113139,5,3
113140,0.93,1
113141,2.88,3
113142,5,3
113143,0.55,1
113144,1.99,3
113145,5,3
113146,,1
113147,0.76,1
113148,0.36,1
113149,0,1
113150,1.42,2
113151,,3
113152,0,1
113153,5,3
113154,4.22,3
113155,,1
113156,1.79,2
113157,0.88,1
113158,1.47,2
113159,0.92,1
113160,1.31,2
113161,2.77,3
113162,,
113163,,
113164,1.99,3
113165,0.71,1
113166,2.89,3
113167,1.29,1
113168,4.14,3
113169,5,3
113170,1.5,2
113171,0.7,1
113172,,1
113173,3.02,3
113174,,
113175,5,3
113176,0,1
113177,0.61,1
113178,3.65,3
113179,,
113180,5,3
113181,2.89,3
113182,3.28,3
113183,4.94,3
113184,,
113185,2.32,3
113186,0.5,1
113187,,1
113188,2.96,3
113189,1.6,2
113190,1.43,2
113191,1.67,2
113192,2.19,3
113193,1.4,2
113194,,1
113195,1.11,1
113196,3.41,3
113197,2.08,3
113198,1.19,1
113199,1.35,2
113200,3.48,3
113201,4.8,3
113202,3.18,3
113203,0.29,1
113204,0.6,1
113205,0.72,1
113206,1.39,2
113207,1.3,1
113208,2.1,3
113209,5,3
113210,5,3
113211,0.56,1
113212,0.72,1
113213,2.94,3
113214,1.04,1
113215,1.21,1
113216,3.39,3
113217,,1
113218,,
113219,0.03,1
113220,5,3
113221,0.8,1
113222,4.48,3
113223,3.65,3
113224,3.65,3
113225,0.87,1
113226,,3
113227,1.56,2
113228,2.45,3
113229,5,3
113230,,9
113231,1.79,2
113232,3.9,3
113233,4.62,3
113234,0.53,1
113235,1.99,3
113236,2.35,3
113237,1.76,2
113238,0.35,1
113239,0.82,1
113240,4.8,3
113241,2.59,3
113242,0.9,1
113243,,3
113244,,1
113245,,
113246,,1
113247,5,3
113248,5,3
113249,2.1,3
113250,3.48,3
113251,3.11,3
113252,1.86,3
113253,5,3
113254,5,3
113255,2.25,3
113256,,3
113257,5,3
113258,0,1
113259,1.73,2
113260,0.98,1
113261,0.98,1
113262,0.85,1
113263,0,1
113264,,9
113265,0.3,1
113266,0,1
113267,1.27,1
113268,,3
113269,1.67,2
113270,3.11,3
113271,,
113272,1.37,2
113273,,3
113274,4.63,3
113275,5,3
113276,,3
113277,3.3,3
113278,1.48,2
113279,0.98,1
113280,0.71,1
113281,0.3,1
113282,,
113283,0.53,1
113284,1.35,2
113285,1.11,1
113286,,3
113287,1.02,1
113288,3.5,3
113289,,7
113290,1.31,2
113291,1.17,1
113292,4.88,3
113293,,
113294,5,3
113295,5,3
113296,3.74,3
113297,1.31,2
113298,2.11,3
113299,,3
113300,,2
113301,,3
113302,4.33,3
113303,5,3
113304,0.39,1
113305,5,3
113306,0.79,1
113307,3.88,3
113308,1.93,3
113309,5,3
113310,1.09,1
113311,1.11,1
113312,5,3
113313,1.19,1
113314,,3
113315,2.75,3
113316,3.39,3
113317,,9
113318,2.44,3
113319,1.4,2
113320,3.55,3
113321,2.04,3
113322,2.79,3
113323,,
113324,,3
113325,4.45,3
113326,0.86,1
113327,,1
113328,0.52,1
113329,5,3
113330,4.43,3
113331,0.99,1
113332,1.92,3
113333,0.94,1
113334,2.04,3
113335,1.34,2
113336,3.46,3
113337,1.92,3
113338,,1
113339,,1
113340,,
113341,5,3
113342,2.22,3
113343,,
113344,0.58,1
113345,,
113346,2.25,3
113347,1.95,3
113348,2.14,3
113349,5,3
113350,0.24,1
113351,1.05,1
113352,0.37,1
113353,,
113354,0.59,1
113355,1.07,1
113356,,1
113357,4.61,3
113358,3.41,3
113359,0,1
113360,2.48,3
113361,1.1,1
113362,1.38,2
113363,1.42,2
113364,0.73,1
113365,1.43,2
113366,1.42,2
113367,,3
113368,5,3
113369,2.44,3
113370,3.55,3
113371,4.92,3
113372,5,3
113373,1.36,2
113374,5,3
113375,,
113376,0.99,1
113377,0.42,1
113378,5,3
113379,3.46,3
113380,1.13,1
113381,,
113382,0.29,1
113383,,3
113384,1.35,2
113385,0.15,1
113386,0.24,1
113387,2.15,3
113388,,
113389,1.17,1
113390,,1
113391,2.13,3
113392,0.55,1
113393,1.17,1
113394,2.11,3
113395,,1
113396,2.25,3
113397,1.11,1
113398,4.97,3
113399,4.17,3
113400,,9
113401,5,3
113402,1.12,1
113403,1.44,2
113404,0.98,1
113405,0,1
113406,4.8,3
113407,,
113408,,3
113409,0.67,1
113410,,1
113411,,
113412,1.86,3
113413,0.88,1
113414,,
113415,3.9,3
113416,,2
113417,1.15,1
113418,1.26,1
113419,3.09,3
113420,,9
113421,0.49,1
113422,0.73,1
113423,0.98,1
113424,1.46,2
113425,1.64,2
113426,4.99,3
113427,3.33,3
113428,,1
113429,,
113430,4.43,3
113431,4.11,3
113432,3.87,3
113433,0.83,1
113434,0.46,1
113435,4.11,3
113436,2.27,3
113437,,
113438,0.51,1
113439,2.2,3
113440,5,3
113441,0.6,1
113442,,3
113443,5,3
113444,5,3
113445,1.43,2
113446,0.79,1
113447,,9
113448,2.59,3
113449,1.22,1
113450,,2
113451,0.76,1
113452,1.85,2
113453,1.55,2
113454,,
113455,,9
113456,,1
113457,4.06,3
113458,1.02,1
113459,,
113460,,
113461,5,3
113462,0.94,1
113463,,
113464,1.13,1
113465,1.07,1
113466,0.63,1
113467,2.35,3
113468,1.44,2
113469,2.2,3
113470,5,3
113471,0.35,1
113472,,
113473,5,3
113474,5,3
113475,1.86,3
113476,,
113477,1.63,2
113478,1.92,3
113479,1.69,2
113480,4.89,3
113481,4.7,3
113482,1.78,2
113483,1.26,1
113484,1.13,1
113485,0.57,1
113486,1.76,2
113487,2.88,3
113488,3.69,3
113489,4.19,3
113490,0.78,1
113491,,
113492,0.74,1
113493,4.97,3
113494,1.04,1
113495,4.3,3
113496,2.73,3
113497,3.9,3
113498,,
113499,3.36,3
113500,1.9,3
113501,0.86,1
113502,0,1
113503,1.82,2
113504,0.34,1
113505,5,3
113506,1.08,1
113507,3.26,3
113508,3.34,3
113509,3.48,3
113510,5,3
113511,,1
113512,0,1
113513,0.97,1
113514,0.84,1
113515,,
113516,,
113517,2.15,3
113518,1.68,2
113519,2.08,3
113520,1.29,1
113521,1.99,3
113522,0.96,1
113523,1.71,2
113524,3.82,3
113525,2.33,3
113526,4.3,3
113527,1.94,3
113528,1.9,3
113529,1.88,3
113530,1.58,2
113531,,1
113532,,3
113533,2.59,3
113534,4.88,3
113535,1.89,3
113536,0.98,1
113537,,1
113538,4.22,3
113539,2.47,3
113540,,
113541,3.38,3
113542,0.39,1
113543,1.09,1
113544,1.19,1
113545,2.14,3
113546,2.59,3
113547,1.75,2
113548,0.8,1
113549,3.58,3
113550,2.29,3
113551,2.55,3
113552,5,3
113553,5,3
113554,0.8,1
113555,1.73,2
113556,2.29,3
113557,1.91,3
113558,1.4,2
113559,4.58,3
113560,1.85,2
113561,1.04,1
113562,1.35,2
113563,,3
113564,1.8,2
113565,0.84,1
113566,,3
113567,2.44,3
113568,,9
113569,1.99,3
113570,,3
113571,3.39,3
113572,,
113573,1.41,2
113574,3.79,3
113575,0,1
113576,4.15,3
113577,1.28,1
113578,2.69,3
113579,1.07,1
113580,5,3
113581,1.43,2
113582,,
113583,5,3
113584,3.47,3
113585,0.6,1
113586,,3
113587,1.67,2
113588,3.43,3
113589,5,3
113590,0.88,1
113591,1.34,2
113592,5,3
113593,,
113594,0.51,1
113595,1.73,2
113596,0.58,1
113597,5,3
113598,0.88,1
113599,4.62,3
113600,1.78,2
113601,0.57,1
113602,2.49,3
113603,4.1,3
113604,,
113605,1.32,2
113606,5,3
113607,1.46,2
113608,1.8,2
113609,2.33,3
113610,,9
113611,,
113612,5,3
113613,0,1
113614,1.42,2
113615,,3
113616,2.42,3
113617,,
113618,5,3
113619,,2
113620,3.46,3
113621,0.94,1
113622,3.35,3
113623,2.02,3
113624,2.63,3
113625,,
113626,2.8,3
113627,,3
113628,1.63,2
113629,3.65,3
113630,5,3
113631,1.42,2
113632,,
113633,3.53,3
113634,0,1
113635,3.92,3
113636,,1
113637,1.46,2
113638,,
113639,1.14,1
113640,1.39,2
113641,1.95,3
113642,0.88,1
113643,2.02,3
113644,0.28,1
113645,0.98,1
113646,0,1
113647,1.73,2
113648,5,3
113649,5,3
113650,2.19,3
113651,1.08,1
113652,1.31,2
113653,,
113654,0.87,1
113655,0,1
113656,1.91,3
113657,2.2,3
113658,,
113659,0.68,1
113660,0,1
113661,4.26,3
113662,5,3
113663,5,3
113664,0.8,1
113665,0.96,1
113666,2.35,3
113667,1.69,2
113668,,3
113669,,
113670,3.34,3
113671,0.24,1
113672,,
113673,,1
113674,3.95,3
113675,0.8,1
113676,,
113677,1.4,2
113678,1.13,1
113679,,3
113680,1.48,2
113681,2.13,3
113682,1.29,1
113683,,1
113684,2.49,3
113685,,
113686,1.6,2
113687,,3
113688,1.42,2
113689,1.72,2
113690,2.71,3
113691,0.08,1
113692,0.89,1
113693,0.25,1
113694,,1
113695,4.52,3
113696,1.24,1
113697,2.36,3
113698,0.39,1
113699,0.92,1
113700,1.75,2
113701,0.38,1
113702,3.28,3
113703,5,3
113704,1.41,2
113705,,9
113706,3.26,3
113707,0.36,1
113708,4.56,3
113709,1.85,2
113710,5,3
113711,2.35,3
113712,1.17,1
113713,5,3
113714,,2
113715,2.36,3
113716,2.8,3
113717,,2
113718,2.49,3
113719,0.87,1
113720,2.04,3
113721,0.88,1
113722,0.5,1
113723,1.1,1
113724,0,1
113725,1.86,3
113726,,
113727,,3
113728,1.95,3
113729,,
113730,1.11,1
113731,5,3
113732,5,3
113733,0.92,1
113734,2.19,3
113735,3.65,3
113736,,9
113737,,3
113738,,1
113739,2.24,3
113740,1.09,1
113741,,1
113742,2.8,3
113743,1.95,3
113744,1.95,3
113745,3.66,3
113746,0,1
113747,5,3
113748,1.17,1
113749,2.25,3
113750,5,3
113751,2.02,3
113752,1.69,2
113753,0.8,1
113754,4.8,3
113755,2.59,3
113756,1.39,2
113757,,3
113758,0,1
113759,0.31,1
113760,1.85,2
113761,1.86,3
113762,1.73,2
113763,3.69,3
113764,1.1,1
113765,,
113766,3.55,3
113767,3.47,3
113768,1.15,1
113769,1.19,1
113770,,9
113771,,9
113772,1.47,2
113773,,
113774,0.5,1
113775,,9
113776,4.78,3
113777,2.35,3
113778,2.57,3
113779,3.07,3
113780,,
113781,1.5,2
113782,0.41,1
113783,0.73,1
113784,4.77,3
113785,,3
113786,4.66,3
113787,2.09,3
113788,2.34,3
113789,,
113790,5,3
113791,3.46,3
113792,0.53,1
113793,1.67,2
113794,2.86,3
113795,2.66,3
113796,4.11,3
113797,,3
113798,4.11,3
113799,1.76,2
113800,2.57,3
113801,0.78,1
113802,,
113803,1.14,1
113804,1.45,2
113805,0.98,1
113806,,2
113807,0.73,1
113808,0.56,1
113809,,
113810,0,1
113811,0.09,1
113812,,1
113813,2.94,3
113814,5,3
113815,0.89,1
113816,5,3
113817,,3
113818,2,3
113819,5,3
113820,0.82,1
113821,,3
113822,,3
113823,5,3
113824,5,3
113825,1.46,2
113826,1.63,2
113827,2.25,3
113828,,3
113829,,
113830,2.19,3
113831,1.47,2
113832,1.5,2
113833,1.31,2
113834,,
113835,,9
113836,,
113837,,9
113838,0.58,1
113839,1.13,1
113840,4.23,3
113841,5,3
113842,0.53,1
113843,5,3
113844,2.04,3
113845,,9
113846,5,3
113847,,1
113848,1.15,1
113849,1.25,1
113850,2.2,3
113851,5,3
113852,2,3
113853,1.54,2
113854,5,3
113855,0.5,1
113856,2.33,3
113857,5,3
113858,,1
113859,,
113860,,3
113861,3.9,3
113862,1.63,2
113863,,
113864,1.42,2
113865,5,3
113866,5,3
113867,,7
113868,0.49,1
113869,2.65,3
113870,5,3
113871,3.84,3
113872,0.83,1
113873,5,3
113874,0.96,1
113875,1.82,2
113876,0.7,1
113877,,3
113878,,9
113879,0.76,1
113880,2.06,3
113881,1.44,2
113882,,7
113883,2.67,3
113884,5,3
113885,0.69,1
113886,3.95,3
113887,,3
113888,2,3
113889,0.73,1
113890,0.41,1
113891,,3
113892,0.57,1
113893,1.19,1
113894,0.67,1
113895,2.9,3
113896,,9
113897,5,3
113898,,
113899,,3
113900,,
113901,1.22,1
113902,3.34,3
113903,3.69,3
113904,1.42,2
113905,,1
113906,1,1
113907,,1
113908,5,3
113909,0,1
113910,1.04,1
113911,1.75,2
113912,5,3
113913,1.67,2
113914,1.67,2
113915,0,1
113916,,
113917,3.18,3
113918,0,1
113919,0.88,1
113920,3.35,3
113921,2.94,3
113922,0.92,1
113923,1.96,3
113924,0.86,1
113925,,
113926,0.51,1
113927,2.67,3
113928,3.26,3
113929,1.67,2
113930,,2
113931,1.06,1
113932,0.65,1
113933,2.56,3
113934,2.35,3
113935,0.85,1
113936,3.84,3
113937,0.92,1
113938,,
113939,3.82,3
113940,1.51,2
113941,1.63,2
113942,0.94,1
113943,5,3
113944,0.76,1
113945,5,3
113946,3.06,3
113947,1.17,1
113948,1.46,2
113949,2.04,3
113950,1.6,2
113951,2.66,3
113952,5,3
113953,,3
113954,0.18,1
113955,5,3
113956,4.88,3
113957,0.82,1
113958,,1
113959,,3
113960,,
113961,,
113962,,
113963,4.19,3
113964,0.88,1
113965,3.94,3
113966,,3
113967,1.01,1
113968,2.43,3
113969,,7
113970,,
113971,2.14,3
113972,2.67,3
113973,,
113974,3.73,3
113975,4.5,3
113976,1.37,2
113977,5,3
113978,1.03,1
113979,,1
113980,1.22,1
113981,2.21,3
113982,,3
113983,4.37,3
113984,4.77,3
113985,,
113986,1.63,2
113987,3.55,3
113988,0.77,1
113989,0.55,1
113990,1.77,2
113991,,
113992,2.98,3
113993,1.14,1
113994,1.92,3
113995,0.92,1
113996,1.18,1
113997,0.73,1
113998,5,3
113999,1.25,1
114000,2.81,3
114001,0.03,1
114002,1.31,2
114003,1.28,1
114004,,1
114005,,1
114006,3.02,3
114007,3.55,3
114008,1.02,1
114009,1.37,2
114010,1.32,2
114011,1.22,1
114012,0.3,1
114013,,3
114014,1.1,1
114015,3.05,3
114016,1.12,1
114017,,1
114018,2.63,3
114019,1.55,2
114020,1.04,1
114021,,3
114022,0.72,1
114023,,9
114024,1.6,2
114025,2.39,3
114026,1.03,1
114027,2.62,3
114028,1.31,2
114029,0.73,1
114030,,3
114031,5,3
114032,3.65,3
114033,4.59,3
114034,2.63,3
114035,1.52,2
114036,1.49,2
114037,,
114038,1.6,2
114039,2.35,3
114040,0.63,1
114041,3.38,3
114042,,3
114043,5,3
114044,1.43,2
114045,5,3
114046,3.73,3
114047,0.81,1
114048,2.21,3
114049,3.55,3
114050,2.63,3
114051,2.2,3
114052,3.36,3
114053,5,3
114054,3.69,3
114055,0,1
114056,5,3
114057,1.69,2
114058,2.69,3
114059,3.65,3
114060,1.03,1
114061,3.06,3
114062,0.93,1
114063,,
114064,1.73,2
114065,3.82,3
114066,,1
114067,,
114068,2.13,3
114069,1.95,3
114070,1.46,2
114071,,3
114072,0,1
114073,1.86,3
114074,5,3
114075,2.79,3
114076,0,1
114077,0.59,1
114078,,3
114079,0.45,1
114080,0.5,1
114081,0.46,1
114082,1.09,1
114083,2.14,3
114084,5,3
114085,1.59,2
114086,1.63,2
114087,,
114088,,1
114089,1.54,2
114090,4.8,3
114091,2.67,3
114092,0.49,1
114093,2.2,3
114094,2.25,3
114095,0.36,1
114096,4.74,3
114097,,
114098,5,3
114099,0.72,1
114100,1.78,2
114101,1.46,2
114102,3.38,3
114103,5,3
114104,1.75,2
114105,,
114106,2.4,3
114107,5,3
114108,1.17,1
114109,,9
114110,1.99,3
114111,0.99,1
114112,2.49,3
114113,,
114114,0.73,1
114115,0.82,1
114116,5,3
114117,5,3
114118,3.31,3
114119,0.35,1
114120,0.7,1
114121,0.91,1
114122,3.84,3
114123,0.59,1
114124,4.43,3
114125,1.48,2
114126,0.32,1
114127,0.95,1
114128,4.42,3
114129,3.94,3
114130,5,3
114131,0.77,1
114132,2.93,3
114133,5,3
114134,3.94,3
114135,,
114136,4.11,3
114137,0.86,1
114138,5,3
114139,0.82,1
114140,0.43,1
114141,,3
114142,1.35,2
114143,,
114144,4.59,3
114145,5,3
114146,0.39,1
114147,5,3
114148,2.5,3
114149,1.97,3
114150,2.15,3
114151,0.82,1
114152,0.62,1
114153,4.05,3
114154,0.4,1
114155,5,3
114156,0.83,1
114157,1.25,1
114158,,9
114159,1.62,2
114160,,
114161,1.92,3
114162,0.73,1
114163,4.8,3
114164,0.53,1
114165,,
114166,,9
114167,2.77,3
114168,1.11,1
114169,1.55,2
114170,2.25,3
114171,,
114172,5,3
114173,,7
114174,0.82,1
114175,1.1,1
114176,1.75,2
114177,,
114178,0.86,1
114179,5,3
114180,2.2,3
114181,2.91,3
114182,4.66,3
114183,5,3
114184,2.84,3
114185,,
114186,,3
114187,0.98,1
114188,1.39,2
114189,5,3
114190,0.98,1
114191,1.59,2
114192,,
114193,0.21,1
114194,,
114195,5,3
114196,,3
114197,,9
114198,0.72,1
114199,1.18,1
114200,0.71,1
114201,1.91,3
114202,,
114203,0.67,1
114204,2.27,3
114205,,
114206,0.6,1
114207,0.75,1
114208,1.37,2
114209,0.81,1
114210,5,3
114211,,3
114212,4.78,3
114213,1.7,2
114214,0,1
114215,5,3
114216,,9
114217,1.49,2
114218,,9
114219,2.31,3
114220,,9
114221,5,3
114222,0.82,1
114223,2.35,3
114224,1.39,2
114225,1.37,2
114226,1.48,2
114227,1.55,2
114228,2.08,3
114229,,3
114230,0.59,1
114231,5,3
114232,2.38,3
114233,,
114234,1.8,2
114235,1.18,1
114236,,1
114237,,9
114238,2.06,3
114239,0.28,1
114240,,3
114241,,1
114242,1.76,2
114243,2.41,3
114244,1.02,1
114245,2.35,3
114246,1.33,2
114247,4.74,3
114248,0,1
114249,2.39,3
114250,1.82,2
114251,5,3
114252,5,3
114253,2.33,3
114254,3.06,3
114255,,3
114256,,9
114257,4.42,3
114258,,
114259,,2
114260,0.69,1
114261,1.79,2
114262,1.91,3
114263,2.19,3
114264,,
114265,1.73,2
114266,1.58,2
114267,3.08,3
114268,,
114269,1.85,2
114270,0.81,1
114271,4.88,3
114272,0.71,1
114273,,3
114274,,3
114275,0.62,1
114276,5,3
114277,1.86,3
114278,5,3
114279,2.27,3
114280,,9
114281,1.19,1
114282,,3
114283,,
114284,,
114285,1.29,1
114286,,
114287,5,3
114288,0.88,1
114289,,
114290,1.96,3
114291,1.63,2
114292,5,3
114293,0.85,1
114294,1.21,1
114295,2.87,3
114296,5,3
114297,1.81,2
114298,4.26,3
114299,3.13,3
114300,,3
114301,0.89,1
114302,2.58,3
114303,1.19,1
114304,2.89,3
114305,4.8,3
114306,5,3
114307,0.74,1
114308,,
114309,1.77,2
114310,,1
114311,5,3
114312,1.59,2
114313,0.35,1
114314,,1
114315,4.26,3
114316,0.73,1
114317,4.7,3
114318,0.15,1
114319,2.5,3
114320,,3
114321,0.49,1
114322,,
114323,1.77,2
114324,0.64,1
114325,3.26,3
114326,0.92,1
114327,,
114328,0.95,1
114329,2.97,3
114330,5,3
114331,5,3
114332,1.99,3
114333,1.39,2
114334,0.9,1
114335,1.66,2
114336,3.33,3
114337,1.84,2
114338,2.47,3
114339,0.72,1
114340,,3
114341,1.82,2
114342,1.99,3
114343,1.41,2
114344,4.89,3
114345,2.13,3
114346,5,3
114347,,3
114348,0.68,1
114349,0.52,1
114350,0.03,1
114351,0.92,1
114352,2.96,3
114353,5,3
114354,,2
114355,5,3
114356,,9
114357,4.62,3
114358,,
114359,1.1,1
114360,5,3
114361,,1
114362,0.89,1
114363,5,3
114364,0.9,1
114365,2.78,3
114366,1.68,2
114367,5,3
114368,,1
114369,2.55,3
114370,,1
114371,2.2,3
114372,0.81,1
114373,5,3
114374,,3
114375,,2
114376,0,1
114377,,9
114378,1.12,1
114379,,
114380,1.11,1
114381,1.06,1
114382,2.19,3
114383,,3
114384,,9
114385,,
114386,1.85,2
114387,0.2,1
114388,,3
114389,2.92,3
114390,,
114391,1.54,2
114392,5,3
114393,0,1
114394,,
114395,,3
114396,,
114397,0.89,1
114398,2.49,3
114399,5,3
114400,1.69,2
114401,0.85,1
114402,0.73,1
114403,0,1
114404,4.25,3
114405,5,3
114406,5,3
114407,1.19,1
114408,2.13,3
114409,,
114410,,3
114411,0.98,1
114412,,1
114413,0.78,1
114414,1.13,1
114415,5,3
114416,0.28,1
114417,3.87,3
114418,0.49,1
114419,0.48,1
114420,0.67,1
114421,2.98,3
114422,1.28,1
114423,5,3
114424,,3
114425,2.49,3
114426,0.32,1
114427,1.13,1
114428,5,3
114429,1.55,2
114430,5,3
114431,,
114432,1.82,2
114433,,2
114434,,7
114435,0.73,1
114436,0.63,1
114437,0.08,1
114438,4.38,3
114439,5,3
114440,3.28,3
114441,3.04,3
114442,0.2,1
114443,5,3
114444,1.19,1
114445,0.77,1
114446,5,3
114447,,2
114448,2.8,3
114449,5,3
114450,2.33,3
114451,1.07,1
114452,4.17,3
114453,,2
114454,1.43,2
114455,3.75,3
114456,,
114457,5,3
114458,,3
114459,1.17,1
114460,1.53,2
114461,5,3
114462,0.79,1
114463,3.54,3
114464,0,1
114465,0.6,1
114466,4.3,3
114467,0.28,1
114468,,2
114469,0.63,1
114470,,7
114471,1.18,1
114472,1.45,2
114473,2.88,3
114474,0.73,1
114475,0,1
114476,,
114477,1.54,2
114478,1.69,2
114479,0.72,1
114480,,2
114481,2.05,3
114482,,3
114483,3.95,3
114484,2.08,3
114485,1.51,2
114486,1.98,3
114487,3.06,3
114488,0.43,1
114489,,3
114490,,
114491,,1
114492,0.84,1
114493,0.92,1
114494,2.36,3
114495,1.22,1
114496,5,3
114497,2.98,3
114498,,3
114499,,
114500,2.99,3
114501,2.45,3
114502,1.84,2
114503,3.21,3
114504,,
114505,2.35,3
114506,1.66,2
114507,0.62,1
114508,3.35,3
114509,2.19,3
114510,0.71,1
114511,,9
114512,0.31,1
114513,5,3
114514,1.61,2
114515,0.69,1
114516,4.39,3
114517,5,3
114518,0.89,1
114519,2.94,3
114520,1.11,1
114521,2.44,3
114522,1.76,2
114523,1.31,2
114524,1.58,2
114525,0,1
114526,1.33,2
114527,2.23,3
114528,,
114529,2.19,3
114530,1,1
114531,,
114532,1.98,3
114533,,9
114534,3.13,3
114535,,3
114536,4.97,3
114537,1.11,1
114538,5,3
114539,1.68,2
114540,0.99,1
114541,,
114542,0.31,1
114543,1.58,2
114544,5,3
114545,5,3
114546,1.27,1
114547,1.6,2
114548,,
114549,,1
114550,0.87,1
114551,1.91,3
114552,0.68,1
114553,1.19,1
114554,1.48,2
114555,3.46,3
114556,,
114557,,1
114558,,3
114559,0.48,1
114560,0.92,1
114561,5,3
114562,0,1
114563,4.17,3
114564,1.15,1
114565,,
114566,0.12,1
114567,1.54,2
114568,0,1
114569,3.41,3
114570,5,3
114571,,
114572,4.32,3
114573,1.19,1
114574,,1
114575,,1
114576,3.68,3
114577,1.73,2
114578,1.79,2
114579,1.13,1
114580,2.39,3
114581,0,1
114582,3.41,3
114583,1.02,1
114584,0.46,1
114585,5,3
114586,2.49,3
114587,1.39,2
114588,5,3
114589,4.87,3
114590,0.5,1
114591,3.99,3
114592,1.86,3
114593,0.75,1
114594,3.75,3
114595,0.47,1
114596,1.34,2
114597,,7
114598,0.57,1
114599,0.87,1
114600,3.87,3
114601,5,3
114602,1.73,2
114603,,
114604,,
114605,,
114606,,1
114607,,
114608,3.69,3
114609,0.81,1
114610,1.39,2
114611,1.52,2
114612,2.29,3
114613,2.24,3
114614,5,3
114615,,3
114616,3.69,3
114617,2.82,3
114618,,
114619,3.36,3
114620,0.6,1
114621,4.06,3
114622,2.84,3
114623,3.35,3
114624,4.73,3
114625,,
114626,,9
114627,5,3
114628,3.46,3
114629,1.67,2
114630,0.95,1
114631,1.41,2
114632,0.66,1
114633,2.73,3
114634,5,3
114635,0.4,1
114636,1,1
114637,0.57,1
114638,2.04,3
114639,1.8,2
114640,5,3
114641,3.73,3
114642,,
114643,,
114644,,1
114645,2.31,3
114646,0.73,1
114647,1.63,2
114648,2.31,3
114649,0.37,1
114650,,
114651,3.98,3
114652,1.67,2
114653,1.48,2
114654,1.03,1
114655,3.21,3
114656,0.18,1
114657,0.51,1
114658,2.77,3
114659,2.6,3
114660,0.76,1
114661,0.28,1
114662,1.39,2
114663,5,3
114664,,3
114665,,3
114666,1.26,1
114667,4.77,3
114668,1.86,3
114669,2.8,3
114670,0.87,1
114671,,
114672,,
114673,5,3
114674,,3
114675,0.28,1
114676,1.71,2
114677,2.1,3
114678,0.36,1
114679,1.13,1
114680,,3
114681,1.25,1
114682,1.66,2
114683,0.89,1
114684,0.92,1
114685,,3
114686,,
114687,,3
114688,0.89,1
114689,1.6,2
114690,1.03,1
114691,,9
114692,3.06,3
114693,0.96,1
114694,4.66,3
114695,,
114696,2.02,3
114697,,9
114698,,
114699,,
114700,3.55,3
114701,4.69,3
114702,,
114703,1.29,1
114704,,9
114705,2.77,3
114706,,2
114707,,3
114708,2.79,3
114709,0.65,1
114710,3.87,3
114711,2.7,3
114712,1.39,2
114713,1.67,2
114714,2.06,3
114715,0.06,1
114716,1.03,1
114717,0.68,1
114718,1.15,1
114719,0.51,1
114720,0.63,1
114721,3.21,3
114722,0,1
114723,1.71,2
114724,1.31,2
114725,1.71,2
114726,1.31,2
114727,,9
114728,0.92,1
114729,1.12,1
114730,1.11,1
114731,1.62,2
114732,3.87,3
114733,0.56,1
114734,,1
114735,0,1
114736,1.69,2
114737,2.24,3
114738,1.82,2
114739,1.39,2
114740,,3
114741,1.22,1
114742,1.39,2
114743,0.37,1
114744,1.74,2
114745,2.22,3
114746,5,3
114747,4.62,3
114748,,2
114749,2.39,3
114750,0.96,1
114751,0.75,1
114752,,3
114753,0.89,1
114754,0.98,1
114755,1.12,1
114756,0.9,1
114757,2.43,3
114758,0.79,1
114759,0,1
114760,,9
114761,,
114762,2.97,3
114763,1.09,1
114764,,9
114765,4.5,3
114766,5,3
114767,5,3
114768,5,3
114769,,7
114770,0.89,1
114771,3.05,3
114772,,3
114773,,7
114774,,7
114775,5,3
114776,2.88,3
114777,,
114778,2.89,3
114779,,7
114780,4.27,3
114781,,9
114782,0,1
114783,1.31,2
114784,1.03,1
114785,3,3
114786,2.19,3
114787,,
114788,2.15,3
114789,1.33,2
114790,,
114791,,9
114792,2.25,3
114793,4.23,3
114794,5,3
114795,1.82,2
114796,4.78,3
114797,2.67,3
114798,3.65,3
114799,1.03,1
114800,1.45,2
114801,4.8,3
114802,0.5,1
114803,3.94,3
114804,3.9,3
114805,0.31,1
114806,,
114807,,
114808,1.51,2
114809,5,3
